"Freq [GHz]","dB(S(1,1)) [] - $Er='2.5'","dB(S(1,1)) [] - $Er='2.6'","dB(S(1,1)) [] - $Er='2.7'","dB(S(1,1)) [] - $Er='2.8'","dB(S(1,1)) [] - $Er='2.9'","dB(S(1,1)) [] - $Er='3'","dB(S(1,1)) [] - $Er='3.1'","dB(S(1,1)) [] - $Er='3.2'","dB(S(1,1)) [] - $Er='3.3'","dB(S(1,1)) [] - $Er='3.4'","dB(S(1,1)) [] - $Er='3.5'","dB(S(1,1)) [] - $Er='3.6'","dB(S(1,1)) [] - $Er='3.7'","dB(S(1,1)) [] - $Er='3.8'","dB(S(1,1)) [] - $Er='3.9'","dB(S(1,1)) [] - $Er='4'","dB(S(1,1)) [] - $Er='4.4'"
0.1,-36.8901401116638,-47.6521438732848,-46.8095208373665,-47.8857857392278,-55.5263384366315,-48.7032151913182,-46.8854456790996,-41.524352346807,-42.0419510907075,-52.7432117292641,-41.5889104640891,-46.2134721500762,-45.9683127247689,-48.5176445007159,-71.8007938044237,-41.8869123408618,-55.043073282517
0.11,-36.1451651563602,-47.2164996542872,-46.3007440925419,-47.3286464157411,-55.7145891285968,-48.2812403318716,-46.3644841768989,-40.784037435671,-41.4832113843468,-52.6956441474561,-40.8693497089941,-45.7350514991991,-45.7342493480216,-48.6040125650799,-71.5630662535577,-41.1857365594016,-55.3467440711145
0.12,-35.4613064843041,-46.7876554184915,-45.8075656492033,-46.7939762714014,-55.9219513209359,-47.8711508747625,-45.8617919412576,-40.1030453237306,-40.9482004861924,-52.6479529170693,-40.2047719091511,-45.2776114530356,-45.4927379774978,-48.7004026103706,-71.3211433584641,-40.5359001285883,-55.6224192700522
0.13,-34.8308322544721,-46.3682188128754,-45.3316904599641,-46.2824634696189,-56.1487680011586,-47.4753209497499,-45.3787436738696,-39.4740616576903,-40.4374550015813,-52.6011466432742,-39.5890439664787,-44.8426530440914,-45.2459344694461,-48.8073493383282,-71.0771277579257,-39.9322258715081,-55.8704596207414
0.14,-34.2473386592999,-45.9599471748382,-44.8739590045137,-45.7940428785345,-56.3954089217951,-47.0952493956128,-44.9158745830696,-38.8909709096425,-39.9507788690805,-52.5562593470895,-39.0168833719729,-44.4308274576572,-44.9957449369627,-48.9254555830536,-70.8326650616027,-39.3701154363415,-56.0920040320004
0.15,-33.705496309001,-45.5639597976629,-44.4346285108619,-45.3281926475569,-56.6622606367241,-46.7317943033859,-44.4731707189043,-38.3486471040696,-39.4875393655967,-52.5143442858806,-38.4837647811015,-44.0422234803782,-44.7438320113118,-49.0553991753698,-70.5889497061476,-38.845541850598,-56.2886714686014
0.16,-33.200842681689,-45.1809057123632,-44.0135726395045,-44.884129420402,-56.9497099386546,-46.3853532102502,-44.0502700415038,-37.8427740952966,-39.0468600094381,-52.4764693208184,-37.9858145321059,-43.6765683500962,-44.4916291843974,-49.1979410936237,-70.3467337671151,-38.3550010032407,-56.4623557004761
0.17,-32.729616281378,-44.8110928994293,-43.6104209904708,-44.4609348947844,-57.2581176965862,-46.055998472001,-43.6465995966971,-37.3696975860237,-38.6277443377838,-52.4437137572645,-37.5197110914987,-43.3333659661061,-44.2403599886363,-49.353935175578,-70.1063339064521,-37.8954502229276,-56.6150877212846
0.18,-32.2886252699172,-44.454586008641,-43.2246553329895,-44.0576365484322,-57.5877788140584,-45.7435773913969,-43.2614679229465,-36.9263054697596,-38.2291539579922,-52.4171665226167,-37.0825975575953,-43.0119908166156,-43.9910595245329,-49.524339742584,-69.8676332799269,-37.4642466395742,-56.7489463923177
0.19,-31.8751435319415,-44.1112792945658,-42.8556752085349,-43.6732580458634,-57.9388622333234,-45.4477854410131,-42.8941265012084,-36.5099317260729,-37.8500566157703,-52.3979254967165,-36.6720072884649,-42.7117510455388,-43.7445965424962,-49.7102315880713,-69.630076738796,-37.0590905905421,-56.8660029776566
