"Freq [GHz]","dB(S(1,1)) [] - $Er='3.34'"
0.1,-47.9706620213739
0.11,-47.2387960455779
0.12,-46.5626249630102
0.13,-45.9356390324635
0.14,-45.3522830324073
0.15,-44.8078289331869
0.16,-44.2982485114311
0.17,-43.820099457766
0.18,-43.3704283680396
0.19,-42.9466899806909
0.2,-42.5466806397521
0.21,-42.1684836897356
0.22,-41.8104246692582
0.23,-41.4710344704868
0.24,-41.1490189480823
0.25,-40.8432337472602
0.26,-40.5526633622102
0.27,-40.2764036335908
0.28,-40.0136470524091
0.29,-39.7636703638223
0.3,-39.5258240644579
0.31,-39.2995234660899
0.32,-39.0842410613291
0.33,-38.8794999768831
0.34,-38.6848683397108
0.35,-38.4999544131894
0.36,-38.3244023859376
0.37,-38.1578887165023
0.38,-38.0001189537639
0.39,-37.8508249664357
0.4,-37.7097625260665
0.41,-37.5767091969961
0.42,-37.4514624941446
0.43,-37.3338382756587
0.44,-37.2236693425315
0.45,-37.1208042215484
0.46,-37.0251061114624
0.47,-36.9364519752761
0.48,-36.8547317640267
0.49,-36.7798477595978
0.5,-36.7117140259068
0.51,-36.6502559593761
0.52,-36.5954099309503
0.53,-36.5471230130993
0.54,-36.5053527862847
0.55,-36.4700672202938
0.56,-36.441244626671
0.57,-36.4188736792395
0.58,-36.402953500406
0.59,-36.3934938115968
0.6,-36.3905151468063
0.61,-36.3940491288398
0.62,-36.404138808434
0.63,-36.4208390670271
0.64,-36.4442170845498
0.65,-36.4743528742142
0.66,-36.5113398868987
0.67,-36.5552856883663
0.68,-36.6063127132114
0.69,-36.6645591001047
0.7,-36.7301796135908
0.71,-36.8033466583834
0.72,-36.8842513927616
0.73,-36.9731049482939
0.74,-37.0701397636215
0.75,-37.1756110403774
0.76,-37.2897983293674
0.77,-37.4130072547476
0.78,-37.5455713828549
0.79,-37.6878542402432
0.8,-37.8402514818454
0.81,-38.0031932042889
0.82,-38.177146390193
0.83,-38.3626174552186
0.84,-38.5601548484905
0.85,-38.7703516254832
0.86,-38.9938478657434
0.87,-39.2313327388396
0.88,-39.4835459202516
0.89,-39.7512779090991
0.9,-40.0353685788165
0.91,-40.3367029662165
0.92,-40.6562028237257
0.93,-40.9948117500374
0.94,-41.3534706682826
0.95,-41.7330788836931
0.96,-42.1344337106767
0.97,-42.5581384334468
0.98,-43.0044638356651
0.99,-43.4731424516393
1,-43.9630671837181
1.01,-44.4744045846365
1.02,-45.010423512781
1.03,-45.5679141593294
1.04,-46.140622992185
1.05,-46.7177347173525
1.06,-47.2819774950493
1.07,-47.8077368054729
1.08,-48.2602264934985
1.09,-48.5975880617555
1.1,-48.7778390900413
1.11,-48.7702908295568
1.12,-48.5665294058896
1.13,-48.1838186128517
1.14,-47.6583713972792
1.15,-47.0333944717794
1.16,-46.348924960814
1.17,-45.6367188415111
1.18,-44.9194263762146
1.19,-44.2119642021359
1.2,-43.5234822131261
1.21,-42.8591464527354
1.22,-42.2215042547639
1.23,-41.6114445868545
1.24,-41.0288421052279
1.25,-40.472976626858
1.26,-39.9428008688385
1.27,-39.4371084612798
1.28,-38.9546374565084
1.29,-38.4941325375791
1.3,-38.054380987168
1.31,-37.6342321180465
1.32,-37.2326063890931
1.33,-36.8484981903752
1.34,-36.4809748409715
1.35,-36.1291734180099
1.36,-35.7922964404232
1.37,-35.4696070479515
1.38,-35.160424069348
1.39,-34.8641172151752
1.4,-34.5801025289393
1.41,-34.3078381655903
1.42,-34.0468205256744
1.43,-33.7965807482565
1.44,-33.5566815506639
1.45,-33.3267143945619
1.46,-33.1062969535139
1.47,-32.8950708554713
1.48,-32.6926996735763
1.49,-32.4988671395895
1.5,-32.3132755557424
1.51,-32.1356443825947
1.52,-31.9657089823633
1.53,-31.8032194990852
1.54,-31.6479398588035
1.55,-31.4996468746943
1.56,-31.3581294436576
1.57,-31.2231878223745
1.58,-31.0946329721761
1.59,-30.972285963294
1.6,-30.855977430159
1.61,-30.7455470704053
1.62,-30.6408431811169
1.63,-30.5417222266444
1.64,-30.4480484330168
1.65,-30.3596934045936
1.66,-30.2765357591513
1.67,-30.1984607780801
1.68,-30.1253600687882
1.69,-30.0571312367879
1.7,-29.9936775652568
1.71,-29.934907700153
1.72,-29.8807353392102
1.73,-29.8310789233501
1.74,-29.7858613292376
1.75,-29.7450095618619
1.76,-29.7084544461701
1.77,-29.6761303168971
1.78,-29.6479747058436
1.79,-29.6239280259482
1.8,-29.6039332515781
1.81,-29.5879355945416
1.82,-29.5758821753923
1.83,-29.5677216896579
1.84,-29.5634040686908
1.85,-29.5628801348992
1.86,-29.5661012511798
1.87,-29.5730189644439
1.88,-29.5835846431996
1.89,-29.5977491092368
1.9,-29.615462263554
1.91,-29.6366727067721
1.92,-29.6613273544031
1.93,-29.6893710474833
1.94,-29.7207461592459
1.95,-29.7553921986966
1.96,-29.7932454121806
1.97,-29.8342383842792
1.98,-29.87829963967
1.99,-29.9253532479149
2,-29.9753184335222
2.01,-30.028109194048
2.02,-30.0836339294825
2.03,-30.1417950866869
2.04,-30.2024888232198
2.05,-30.2656046955109
2.06,-30.331025376996
2.07,-30.3986264125145
2.08,-30.4682760159737
2.09,-30.5398349189857
2.1,-30.6131562788576
2.11,-30.6880856549375
2.12,-30.7644610628472
2.13,-30.8421131165322
2.14,-30.9208652682754
2.15,-31.0005341568084
2.16,-31.0809300733459
2.17,-31.1618575547244
2.18,-31.2431161117647
2.19,-31.3245010994757
2.2,-31.4058047337109
2.21,-31.4868172563629
2.22,-31.567328248134
2.23,-31.6471280843614
2.24,-31.7260095253683
2.25,-31.8037694284415
2.26,-31.8802105639257
2.27,-31.9551435132435
2.28,-32.0283886220966
2.29,-32.0997779778969
2.3,-32.1691573768692
2.31,-32.2363882434942
2.32,-32.3013494632553
2.33,-32.3639390892126
2.34,-32.4240758838918
2.35,-32.4817006604205
2.36,-32.5367773907687
2.37,-32.5892940542498
2.38,-32.6392632059408
2.39,-32.6867222521216
2.4,-32.7317334278802
2.41,-32.7743834803302
2.42,-32.8147830690334
2.43,-32.8530659028575
2.44,-32.8893876392732
2.45,-32.9239245777378
2.46,-32.9568721831124
2.47,-32.9884434779116
2.48,-33.0188673435497
2.49,-33.0483867706918
2.5,-33.0772570974656
2.51,-33.1057442718259
2.52,-33.1341231710159
2.53,-33.1626760070795
2.54,-33.1916908429928
2.55,-33.2214602394327
2.56,-33.2522800477046
2.57,-33.2844483600691
2.58,-33.3182646247974
2.59,-33.3540289298387
2.6,-33.3920414560686
2.61,-33.4326020987409
2.62,-33.4760102540007
2.63,-33.5225647661039
2.64,-33.5725640303239
2.65,-33.6263062463486
2.66,-33.6840898172592
2.67,-33.7462138898776
2.68,-33.8129790333537
2.69,-33.8846880542895
2.7,-33.9616469484607
2.71,-34.0441659912792
2.72,-34.1325609715599
2.73,-34.2271545759274
2.74,-34.3282779343724
2.75,-34.4362723411057
2.76,-34.551491169054
2.77,-34.6743020012128
2.78,-34.805089007785
2.79,-34.9442556047923
2.8,-35.0922274379182
2.81,-35.249455745076
2.82,-35.4164211630328
2.83,-35.5936380579493
2.84,-35.7816594776583
2.85,-35.9810828459146
2.86,-36.1925565469997
2.87,-36.4167875847236
2.88,-36.6545505453877
2.89,-36.9066981528448
2.9,-37.1741737798056
2.91,-37.4580263790206
2.92,-37.7594284293704
2.93,-38.0796976671008
2.94,-38.4203236084246
2.95,-38.7830001909381
2.96,-39.1696663034693
2.97,-39.5825565898481
2.98,-40.0242657805581
2.99,-40.4978310467497
3,-41.0068386666161
