freq	dB(S(1,1))
1.00000000000000000E8	-3.65314599999999867E1
1.10000000000000009E8	-3.58887450054954504E1
1.19999999999999996E8	-3.50926771084322908E1
1.30000000000000004E8	-3.47276334100628148E1
1.39999999999999991E8	-3.43235583578455561E1
1.50000000000000000E8	-3.39522372497638347E1
1.60000000000000009E8	-3.36571195775823773E1
1.69999999999999996E8	-3.33751950663618624E1
1.80000000000000004E8	-3.30664458701817932E1
1.89999999999999991E8	-3.28158183517676338E1
2.00000000000000000E8	-3.26043216173091688E1
2.10000000000000009E8	-3.21112582088410203E1
2.20000000000000018E8	-3.17447957687019322E1
2.29999999999999982E8	-3.13876739085887202E1
2.39999999999999991E8	-3.12250161451480901E1
2.50000000000000000E8	-3.10791625799799931E1
2.60000000000000009E8	-3.07850993628944858E1
2.70000000000000018E8	-3.07883579542967034E1
2.79999999999999982E8	-3.07413665470718067E1
2.89999999999999991E8	-3.06815722305734662E1
3.00000000000000000E8	-3.06998141049871931E1
3.10000000000000009E8	-3.07170900039979911E1
3.20000000000000018E8	-3.06645054423382168E1
3.29999999999999982E8	-3.08208823043276148E1
3.39999999999999991E8	-3.08674897933220826E1
3.50000000000000000E8	-3.10289999745758216E1
3.60000000000000009E8	-3.12226068605482299E1
3.70000000000000018E8	-3.13735407934146293E1
3.79999999999999982E8	-3.13495973264343020E1
3.89999999999999991E8	-3.13023399999999929E1
4.00000000000000000E8	-3.12529277263826843E1
4.09999999999999964E8	-3.10295284477660349E1
4.20000000000000018E8	-3.09745982983486146E1
4.29999999999999982E8	-3.07748767690900626E1
4.40000000000000036E8	-3.07556545049626884E1
4.50000000000000000E8	-3.08362145958635736E1
4.59999999999999964E8	-3.07524376178717951E1
4.70000000000000018E8	-3.08491155052329491E1
4.79999999999999982E8	-3.09913279120142171E1
4.90000000000000036E8	-3.12912497492488262E1
5.00000000000000000E8	-3.15307655658179220E1
5.09999999999999964E8	-3.19005378435782605E1
5.20000000000000018E8	-3.24063672692786131E1
5.29999999999999982E8	-3.28323525548669526E1
5.40000000000000036E8	-3.33457451318614684E1
5.50000000000000000E8	-3.39455767973994194E1
5.59999999999999964E8	-3.45042906624934975E1
5.70000000000000018E8	-3.48910500557948478E1
5.79999999999999982E8	-3.49717350592539100E1
5.90000000000000036E8	-3.50961364821772204E1
6.00000000000000000E8	-3.51403048005553753E1
6.09999999999999964E8	-3.53545568032649138E1
6.20000000000000018E8	-3.55532405730554490E1
6.29999999999999982E8	-3.57581033441800011E1
6.40000000000000036E8	-3.61061898804395387E1
6.50000000000000000E8	-3.68677206209434072E1
6.59999999999999964E8	-3.75237251175709252E1
6.70000000000000018E8	-3.85733559301150342E1
6.79999999999999982E8	-3.98125600000000279E1
6.90000000000000036E8	-4.16484134350477841E1
7.00000000000000000E8	-4.40476502568860973E1
7.09999999999999964E8	-4.65765084251877770E1
7.20000000000000018E8	-4.72959603480528212E1
7.29999999999999982E8	-4.54972693550227003E1
7.40000000000000036E8	-4.32789908262477319E1
7.50000000000000000E8	-4.09006063907614070E1
7.59999999999999964E8	-3.96069497517554137E1
7.70000000000000018E8	-3.86416965875149732E1
7.79999999999999982E8	-3.82347233056646241E1
7.90000000000000036E8	-3.80325647714938331E1
8.00000000000000000E8	-3.79502128079889456E1
8.09999999999999964E8	-3.82205945875654729E1
8.19999999999999929E8	-3.86723136165926595E1
8.30000000000000071E8	-3.88769557622611028E1
8.40000000000000036E8	-3.89905650041320007E1
8.50000000000000000E8	-3.88807291386921472E1
8.59999999999999964E8	-3.82676482426812248E1
8.69999999999999929E8	-3.74761756553723302E1
8.80000000000000071E8	-3.66139703677196371E1
8.90000000000000036E8	-3.57921171286745743E1
9.00000000000000000E8	-3.48953743206337208E1
9.09999999999999964E8	-3.40913828016258957E1
9.19999999999999929E8	-3.33100101995214137E1
9.30000000000000071E8	-3.27520947913050131E1
9.40000000000000036E8	-3.23329929464352528E1
9.50000000000000000E8	-3.21432561779451209E1
9.59999999999999964E8	-3.21489977175529740E1
9.69999999999999929E8	-3.22766799999999909E1
9.80000000000000071E8	-3.25221161470872167E1
9.90000000000000036E8	-3.27257176116614357E1
1.00000000000000000E9	-3.29728471668837519E1
1.01000000000000001E9	-3.27705783342785972E1
1.02000000000000002E9	-3.28270013895851553E1
1.03000000000000003E9	-3.26843683004609753E1
1.04000000000000004E9	-3.22843431701192518E1
1.05000000000000004E9	-3.18958327444900647E1
1.06000000000000005E9	-3.16317223152331239E1
1.06999999999999984E9	-3.11857317075116480E1
1.08000000000000007E9	-3.08492286164776042E1
1.09000000000000008E9	-3.03338057383212023E1
1.10000000000000009E9	-3.01536303619112234E1
1.10999999999999988E9	-2.99728180958833645E1
1.11999999999999988E9	-2.99258132203879734E1
1.13000000000000012E9	-2.99045264251447307E1
1.14000000000000012E9	-3.02386856159564310E1
1.14999999999999991E9	-3.03286890034716539E1
1.15999999999999992E9	-3.06608175780845116E1
1.16999999999999993E9	-3.08659305235287995E1
1.18000000000000016E9	-3.10763433991406002E1
1.18999999999999995E9	-3.13398124893899110E1
1.19999999999999996E9	-3.14248699574753632E1
1.20999999999999996E9	-3.14327179386943456E1
1.21999999999999997E9	-3.16157926024020197E1
1.22999999999999998E9	-3.15303762665036436E1
1.23999999999999999E9	-3.16291336973296167E1
1.25000000000000000E9	-3.15075854251439180E1
1.26000000000000001E9	-3.15793099999999782E1
